pt;y;cent;chi2;fitStat;doIterativeFit;modelSig_mass;mean_mass;sigma_mass;alpha0_mass;n0_mass;alpha1_mass;n1_mass;modelBkg_mass;c0_mass;c1_mass;c2_mass;c3_mass;
2-5;2.5-3.6;0-100;0-31;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-31;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-32;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-32;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-32;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-32;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-33;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-33;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-33;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-33;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-34;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-34;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-34;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-34;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-35;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-35;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-35;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-35;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-36;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-36;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-36;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-36;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-37;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-37;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-37;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-37;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-38;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-38;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-38;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-38;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-39;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-39;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-39;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-39;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-40;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-40;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-40;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-40;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-41;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-41;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-41;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-41;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-42;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-42;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-42;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-42;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-43;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-43;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-43;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-43;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-44;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-44;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-44;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-44;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-45;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-45;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-45;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-45;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-46;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-46;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-46;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-46;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-47;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-47;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-47;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-47;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-48;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-48;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-48;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-48;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-49;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-49;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-49;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-49;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-50;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-50;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-50;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-50;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-51;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-51;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-51;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-51;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-52;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-52;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-52;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-52;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-53;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-53;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-53;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-53;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-54;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-54;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-54;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-54;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-55;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-55;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-55;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-55;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-56;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-56;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-56;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-56;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-57;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-57;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-57;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-57;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-58;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
